Action.c(284): Error -26612: HTTP Status-Code=500 (Internal Server Error) for "http://localhost:1080/cgi-bin/nav.pl?in=home"  	[MsgId: MERR-26612]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 60,68).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 60,49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 60,45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 60,99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 66,76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 65,67).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 68,65).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 67,37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 68,42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 67,73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 74,58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 67,76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 67,56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 68,08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 70,97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 70,42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 75,44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 84,50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 85,22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 80,95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 82,84).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 80,11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 80,72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 81,06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 82,89).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 81,28).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 77,88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 81,64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 82,27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 79,08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 78,93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 85,82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 79,16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 78,40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 85,19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 83,31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 85,66).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 85,56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 87,44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 90,39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 86,14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 88,01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 92,37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 91,88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 87,44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 90,09).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 87,19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 60,00, actual time = 81,55).	[MsgId: MWAR-15995]
